Image Count,Avg File Size (GB),Total Storage (GB),Monthly Transfer (GB),Supabase Monthly ($),Cloudinary Tier,Cloudinary Monthly ($),AWS S3 1st Year ($),AWS S3 Ongoing ($),GitHub LFS Monthly ($),Cloudflare CDN
10000,0.005,50.0,80.0,7.78,Plus ($99/month),99,1.03,1.15,2.8000000000000003,Free
10000,0.01,100.0,160.0,16.03,Plus ($99/month),99,7.58,7.7,6.300000000000001,Free
10000,0.02,200.0,320.0,32.53,Advanced ($249/month),249,24.29,24.4,13.3,Free
10000,0.05,500.0,800.0,82.03,Enterprise (Custom),500,74.39,74.5,34.300000000000004,Free
50000,0.005,250.0,400.0,40.78,Advanced ($249/month),249,32.63,32.75,16.8,Free
50000,0.01,500.0,800.0,82.03,Enterprise (Custom),500,74.39,74.5,34.300000000000004,Free
50000,0.02,1000.0,1600.0,164.53,Enterprise (Custom),500,157.88,158.0,69.30000000000001,Free
50000,0.05,2500.0,4000.0,412.03,Enterprise (Custom),500,408.39,408.5,174.3,Free
100000,0.005,500.0,800.0,82.03,Enterprise (Custom),500,74.39,74.5,34.300000000000004,Free
100000,0.01,1000.0,1600.0,164.53,Enterprise (Custom),500,157.88,158.0,69.30000000000001,Free
100000,0.02,2000.0,3200.0,329.53,Enterprise (Custom),500,324.88,325.0,139.3,Free
100000,0.05,5000.0,8000.0,824.53,Enterprise (Custom),500,825.89,826.0,349.3,Free
